               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11444,            0.029073,                   0,            0.016601,             0.14194,           0.0063333,           0.0011601,            0.096783,            0.022382,                   0,             0.00068,             0.00068,             0.09388
                   1,            0.085126,            0.030286,                   0,             0.33433,             0.32258,             0.21532,            0.066874,            0.065879,            0.023559,                   0,           0.0013022,           0.0013022,            0.087602
                   2,            0.068382,            0.028985,                   0,             0.36296,             0.43226,             0.34346,             0.11604,            0.054561,            0.021057,                   0,           0.0018561,           0.0018561,            0.081256
                   3,             0.06005,            0.024341,                   0,             0.48957,             0.51613,              0.4822,              0.1546,            0.052947,            0.016288,                   0,           0.0023416,           0.0023416,            0.074842
                   4,            0.055965,            0.019331,                   0,             0.80666,             0.67742,             0.76858,              0.3386,            0.040585,            0.013707,                   0,           0.0027589,           0.0027589,            0.068359
                   5,            0.050241,            0.017202,                   0,             0.71911,             0.83226,             0.80695,             0.39749,            0.039889,             0.01154,                   0,           0.0031078,           0.0031078,            0.061808
                   6,            0.047227,            0.016068,                   0,             0.84334,             0.90298,             0.91555,             0.52232,            0.034622,            0.010871,                   0,           0.0033885,           0.0033885,            0.055188
                   7,            0.049085,            0.015402,                   0,              0.8068,             0.86452,             0.87277,              0.4215,            0.037892,            0.010626,                   0,           0.0036008,           0.0036008,            0.048501
                   8,             0.04692,            0.014278,                   0,              0.9189,              0.8772,             0.92162,             0.50984,            0.035257,            0.010277,                   0,           0.0037448,           0.0037448,            0.041745
                   9,            0.044278,            0.014262,                   0,             0.95774,             0.87724,             0.93715,             0.56744,            0.032733,           0.0097627,                   0,           0.0038205,           0.0038205,            0.034921
                  10,             0.04211,            0.013405,                   0,              0.9383,             0.89032,             0.94179,             0.50987,            0.031316,           0.0095892,                   0,           0.0038279,           0.0038279,            0.028028
                  11,            0.038697,             0.01298,                   0,             0.93876,             0.89016,             0.93611,             0.54707,                0.03,           0.0093114,                   0,            0.003767,            0.003767,            0.021067
                  12,            0.040666,             0.01281,                   0,             0.91442,             0.94839,             0.95815,             0.53733,            0.031126,           0.0089418,                   0,           0.0036378,           0.0036378,            0.014038
                  13,            0.037571,            0.012528,                   0,             0.92077,             0.90323,             0.94283,             0.55801,            0.029676,           0.0090767,                   0,           0.0034402,           0.0034402,           0.0069402
                  14,            0.034438,            0.011465,                   0,             0.99264,             0.89677,             0.95889,             0.54962,            0.031864,           0.0085229,                   0,             0.00307,             0.00307,             0.00307
                  15,            0.033566,            0.012023,                   0,              0.9726,              0.9159,             0.96492,             0.58396,            0.029167,           0.0080964,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.030325,            0.011173,                   0,             0.96551,             0.90316,             0.96197,              0.6092,            0.027877,           0.0081497,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.028488,            0.011176,                   0,             0.97292,             0.92903,             0.95829,             0.61718,            0.026607,            0.007987,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.026392,             0.01071,                   0,             0.95973,             0.92256,              0.9571,             0.61871,            0.026594,           0.0077762,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.025457,             0.01023,                   0,             0.96021,             0.93548,             0.96061,              0.6227,            0.026323,           0.0079914,                   0,             0.00109,             0.00109,             0.00109
