               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091652,            0.083224,            0.083528,           0.0060978,            0.002218,           0.0038679,           0.0013495,             0.07991,            0.064837,            0.077676,           0.0033329,           0.0033329,            0.070004
                   1,            0.074625,            0.084272,            0.074168,             0.09259,            0.019479,            0.054011,            0.029893,            0.068935,            0.062813,            0.063671,           0.0066442,           0.0066442,            0.039982
                   2,            0.068909,            0.082433,            0.062362,             0.19689,            0.061467,             0.12704,             0.07421,            0.062952,            0.060965,            0.050959,           0.0099336,           0.0099336,           0.0099381
                   3,            0.064829,            0.080395,            0.053483,              0.3849,             0.10234,             0.24387,             0.14435,            0.059134,            0.059439,            0.043129,            0.009901,            0.009901,            0.009901
                   4,            0.062218,            0.079101,            0.048107,             0.38652,             0.13135,             0.26023,             0.16651,            0.057084,            0.058494,            0.039289,            0.009901,            0.009901,            0.009901
                   5,            0.060607,            0.078089,            0.044834,             0.47372,             0.15004,              0.3123,             0.20394,             0.05592,            0.057935,            0.037215,            0.009868,            0.009868,            0.009868
                   6,            0.059479,            0.077602,             0.04262,             0.50399,             0.16189,             0.33491,             0.22148,            0.055245,            0.057716,            0.035954,            0.009835,            0.009835,            0.009835
                   7,            0.058593,            0.076772,            0.040773,             0.51797,             0.16531,             0.34461,              0.2275,            0.054811,            0.057734,            0.035125,            0.009802,            0.009802,            0.009802
                   8,            0.057971,            0.076482,            0.039414,             0.54586,             0.16571,             0.36063,              0.2334,            0.054529,             0.05791,             0.03452,            0.009769,            0.009769,            0.009769
                   9,            0.057385,            0.075691,            0.038409,             0.56655,             0.16358,               0.371,              0.2416,            0.054336,            0.058326,            0.034047,            0.009736,            0.009736,            0.009736
                  10,             0.05697,            0.075437,            0.037362,             0.58181,             0.16136,             0.37784,             0.24821,            0.054212,            0.058851,            0.033644,            0.009703,            0.009703,            0.009703
                  11,            0.056546,             0.07502,            0.036686,             0.59371,             0.15807,             0.38084,             0.25135,            0.054126,            0.059523,            0.033304,             0.00967,             0.00967,             0.00967
                  12,            0.056205,            0.075158,            0.035847,             0.57647,             0.15558,             0.37134,             0.24974,            0.054043,            0.060174,            0.032948,            0.009637,            0.009637,            0.009637
                  13,            0.055871,            0.074465,            0.035387,             0.61199,             0.15681,             0.38915,             0.26365,             0.05392,            0.060673,            0.032529,            0.009604,            0.009604,            0.009604
                  14,            0.055589,            0.074305,            0.034893,             0.60775,             0.15842,             0.38848,             0.26385,            0.053766,            0.061018,             0.03207,            0.009571,            0.009571,            0.009571
                  15,            0.055386,            0.074194,            0.034431,             0.63524,             0.16228,               0.395,             0.26932,            0.053556,            0.061114,            0.031558,            0.009538,            0.009538,            0.009538
                  16,            0.055168,            0.073988,            0.034001,             0.62321,             0.16946,             0.40039,             0.27468,             0.05327,            0.060973,            0.030962,            0.009505,            0.009505,            0.009505
                  17,            0.054953,            0.073516,            0.033615,             0.62918,             0.17653,               0.409,             0.28349,             0.05292,            0.060637,            0.030324,            0.009472,            0.009472,            0.009472
                  18,            0.054727,            0.073496,            0.033359,             0.66645,             0.18667,             0.43305,              0.2976,            0.052548,            0.060194,            0.029699,            0.009439,            0.009439,            0.009439
                  19,            0.054592,             0.07339,            0.033135,             0.66446,             0.19733,             0.43749,             0.30274,            0.052171,            0.059696,            0.029091,            0.009406,            0.009406,            0.009406
                  20,            0.054435,            0.073109,            0.032726,             0.66588,             0.20842,             0.44398,             0.30744,            0.051772,            0.059064,            0.028476,            0.009373,            0.009373,            0.009373
                  21,            0.054228,            0.072955,            0.032466,             0.67501,               0.219,             0.45295,             0.31477,            0.051372,            0.058403,            0.027874,             0.00934,             0.00934,             0.00934
                  22,            0.054126,            0.072847,            0.032209,             0.68562,             0.23129,             0.46538,             0.32403,            0.050994,            0.057767,            0.027273,            0.009307,            0.009307,            0.009307
                  23,            0.054064,            0.072857,            0.032086,             0.68013,             0.24451,             0.47133,             0.32756,            0.050617,            0.057155,            0.026718,            0.009274,            0.009274,            0.009274
                  24,            0.053896,            0.072725,            0.031824,             0.69072,             0.25515,              0.4799,             0.33512,            0.050266,            0.056599,            0.026219,            0.009241,            0.009241,            0.009241
                  25,            0.053767,            0.072547,            0.031654,             0.69671,             0.26533,             0.48646,             0.34128,            0.049938,            0.056068,            0.025755,            0.009208,            0.009208,            0.009208
                  26,            0.053654,             0.07243,            0.031432,             0.68629,             0.27807,             0.49104,             0.34367,            0.049631,            0.055542,            0.025313,            0.009175,            0.009175,            0.009175
                  27,            0.053524,            0.072201,             0.03124,             0.68862,             0.28771,              0.4937,             0.34758,            0.049344,            0.055056,            0.024915,            0.009142,            0.009142,            0.009142
                  28,            0.053461,            0.072289,            0.031055,             0.68294,             0.29916,             0.49812,             0.35096,            0.049087,            0.054603,             0.02455,            0.009109,            0.009109,            0.009109
                  29,            0.053341,             0.07231,            0.030913,             0.68636,             0.30884,             0.50308,             0.35429,             0.04885,            0.054226,            0.024209,            0.009076,            0.009076,            0.009076
                  30,            0.053313,            0.071954,            0.030818,             0.66852,             0.31954,             0.50592,             0.35733,             0.04863,            0.053896,            0.023903,            0.009043,            0.009043,            0.009043
                  31,            0.053188,            0.072122,            0.030598,             0.66243,              0.3276,              0.5072,              0.3577,            0.048427,            0.053575,            0.023608,             0.00901,             0.00901,             0.00901
