               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091777,            0.083417,             0.08373,            0.006345,           0.0018468,           0.0038025,           0.0015348,            0.079523,            0.064795,            0.078136,           0.0033329,           0.0033329,            0.070004
                   1,            0.074533,            0.084471,            0.074856,            0.077905,            0.015929,            0.044937,            0.021789,            0.069175,            0.062979,            0.065008,           0.0066442,           0.0066442,            0.039982
                   2,            0.068998,            0.082746,            0.063195,             0.20381,            0.057983,             0.12205,            0.068235,            0.063181,            0.061286,            0.051676,           0.0099336,           0.0099336,           0.0099381
                   3,            0.065021,            0.080841,            0.053941,             0.39029,            0.099276,             0.23599,             0.14365,            0.059429,            0.059648,            0.043796,            0.009901,            0.009901,            0.009901
                   4,              0.0624,            0.079114,            0.048649,             0.40149,             0.13008,             0.26484,             0.16552,            0.057424,            0.058682,            0.039832,            0.009901,            0.009901,            0.009901
                   5,            0.060757,            0.078234,             0.04545,             0.46569,             0.15082,             0.30812,             0.19613,            0.056214,             0.05809,            0.037624,            0.009868,            0.009868,            0.009868
                   6,            0.059597,            0.077583,            0.042935,             0.48625,             0.16071,             0.32669,              0.2116,            0.055497,            0.057846,            0.036308,            0.009835,            0.009835,            0.009835
                   7,            0.058836,            0.076975,            0.041255,             0.50116,             0.16249,             0.33394,             0.21844,            0.055071,            0.057901,            0.035471,            0.009802,            0.009802,            0.009802
                   8,            0.058091,            0.076428,            0.039874,             0.55096,             0.16286,             0.35707,             0.22755,            0.054802,            0.058152,            0.034879,            0.009769,            0.009769,            0.009769
                   9,            0.057602,            0.076013,            0.038752,             0.55347,             0.16121,             0.35674,             0.23395,            0.054637,            0.058598,             0.03441,            0.009736,            0.009736,            0.009736
                  10,            0.057078,            0.075348,            0.037852,             0.56122,             0.15887,              0.3592,             0.23816,            0.054536,            0.059234,            0.034015,            0.009703,            0.009703,            0.009703
                  11,             0.05665,            0.075551,            0.037091,             0.57319,             0.15579,             0.36664,             0.24217,            0.054448,            0.059931,            0.033631,             0.00967,             0.00967,             0.00967
                  12,             0.05633,            0.074917,            0.036285,             0.57795,             0.15373,             0.36848,             0.24743,            0.054371,            0.060574,            0.033229,            0.009637,            0.009637,            0.009637
                  13,             0.05604,            0.074779,            0.035694,             0.59797,             0.15399,             0.37538,             0.25275,            0.054247,            0.061081,            0.032776,            0.009604,            0.009604,            0.009604
                  14,            0.055728,            0.074372,            0.035189,             0.61074,             0.15606,             0.38463,             0.26064,            0.054062,            0.061406,            0.032246,            0.009571,            0.009571,            0.009571
                  15,            0.055517,            0.074407,            0.034706,             0.61971,             0.16211,             0.39379,             0.26949,            0.053813,            0.061446,            0.031644,            0.009538,            0.009538,            0.009538
                  16,            0.055313,            0.074222,            0.034308,             0.63155,             0.16848,             0.40209,             0.27728,            0.053508,            0.061228,            0.030985,            0.009505,            0.009505,            0.009505
                  17,            0.054957,            0.073731,            0.033944,             0.64559,               0.178,             0.41469,             0.28564,            0.053163,            0.060895,            0.030314,            0.009472,            0.009472,            0.009472
                  18,            0.054842,            0.073674,            0.033629,             0.65192,              0.1879,             0.42202,             0.29128,            0.052791,            0.060446,            0.029651,            0.009439,            0.009439,            0.009439
                  19,            0.054589,            0.073391,            0.033304,             0.66565,              0.1968,             0.43081,             0.29872,            0.052403,            0.059916,            0.029013,            0.009406,            0.009406,            0.009406
                  20,            0.054533,            0.073298,            0.033012,             0.68562,             0.20823,             0.44537,             0.30754,            0.052003,            0.059336,             0.02839,            0.009373,            0.009373,            0.009373
                  21,            0.054291,            0.073347,            0.032718,             0.67112,             0.22163,             0.45221,             0.31298,            0.051615,            0.058673,            0.027783,             0.00934,             0.00934,             0.00934
                  22,            0.054219,             0.07311,            0.032569,             0.68484,             0.23415,             0.46572,             0.32344,             0.05123,            0.057978,             0.02723,            0.009307,            0.009307,            0.009307
                  23,            0.054074,            0.073015,            0.032158,             0.69232,             0.24608,             0.47609,             0.33174,            0.050857,            0.057337,            0.026707,            0.009274,            0.009274,            0.009274
                  24,            0.053964,            0.072965,            0.032045,             0.68926,             0.25792,             0.48059,             0.33533,            0.050505,             0.05672,            0.026214,            0.009241,            0.009241,            0.009241
                  25,            0.053864,            0.072826,            0.031805,             0.69075,             0.27028,             0.48785,             0.34057,            0.050169,            0.056158,            0.025757,            0.009208,            0.009208,            0.009208
                  26,            0.053727,            0.073037,            0.031642,             0.69312,             0.28302,             0.49644,             0.34731,            0.049841,            0.055646,            0.025337,            0.009175,            0.009175,            0.009175
                  27,            0.053689,            0.072614,            0.031473,             0.68894,             0.29304,             0.50051,             0.35199,            0.049549,             0.05517,             0.02495,            0.009142,            0.009142,            0.009142
                  28,            0.053447,            0.072597,            0.031277,             0.68765,             0.30386,             0.50555,              0.3561,            0.049279,            0.054734,            0.024608,            0.009109,            0.009109,            0.009109
                  29,            0.053481,            0.072301,            0.031132,             0.69458,              0.3122,             0.51404,             0.36042,            0.049011,            0.054341,            0.024269,            0.009076,            0.009076,            0.009076
                  30,             0.05329,             0.07226,            0.031002,             0.69547,             0.32162,              0.5199,             0.36497,            0.048783,            0.053998,            0.023967,            0.009043,            0.009043,            0.009043
                  31,            0.053262,            0.072355,            0.030828,             0.68754,             0.33038,             0.52141,             0.36597,            0.048564,            0.053679,            0.023676,             0.00901,             0.00901,             0.00901
                  32,            0.053138,            0.072361,            0.030717,             0.67833,              0.3387,             0.52095,             0.36639,            0.048366,            0.053391,            0.023432,            0.008977,            0.008977,            0.008977
                  33,            0.053029,            0.072094,            0.030639,             0.66799,             0.34518,             0.52055,             0.36662,            0.048181,             0.05313,            0.023196,            0.008944,            0.008944,            0.008944
                  34,            0.052961,            0.072005,            0.030435,             0.66858,             0.35123,             0.52483,             0.36584,            0.048006,            0.052904,            0.022973,            0.008911,            0.008911,            0.008911
                  35,            0.052826,            0.071738,            0.030293,             0.66847,             0.35858,             0.52842,             0.36884,            0.047854,            0.052698,            0.022764,            0.008878,            0.008878,            0.008878
